User full name,Year,NoIP,Created,Deleted,Downloaded,Ended,Reset,Shown,Started,Submitted,Updated,Uploaded,Viewed,Holiday,Week 01,Week 02,Week 03,Week 04,Week 05,Week 06,Week 07,Week 08,Week 09,Week 10,Week 11,Week 12,Week 13,Week 14,Mean events,Max events,Min events,Total events,1st half sem,2nd half sem,Visit days,Events,Day events min,Day events max,Weekend days,Class days,Out days,Afternoon,Evening,Morning,Night,Class,Out,Frequency,Recency,T
10120,2018,22,3,,,1,,,3,3,,3,267,3,14,11,2,18,6,74,14,9,2,40,60,13,4,10,19.78571429,74,2,277,139,138,38,280,1,36,12,9,33,17,142,11,110,51,229,37,98,100
10155,2018,21,3,,,,,,2,3,,3,324,6,34,16,17,9,18,63,17,11,9,20,43,60,6,6,23.5,63,6,329,174,155,46,335,1,26,14,12,39,4,205,13,113,84,251,45,100,101
9889,2018,13,3,,,,,,2,3,,3,229,3,,19,3,,5,50,10,3,2,4,61,30,50,,21.54545455,61,2,237,87,150,39,240,1,25,9,8,33,77,58,4,101,61,179,38,84,93
10203,2018,57,5,,3,,,,2,5,2,5,463,,26,2,4,1,3,82,18,4,11,8,114,95,108,9,34.64285714,114,1,485,136,349,41,485,1,45,5,6,36,100,166,19,200,49,436,40,100,100
10153,2018,32,3,,,,,,2,3,,3,332,,3,28,22,15,31,88,14,5,10,6,47,19,48,7,24.5,88,3,343,201,142,43,343,1,43,7,11,41,62,133,13,135,65,278,42,100,101
10168,2018,26,6,1,,,,,2,4,,4,385,1,22,15,9,19,28,49,13,3,11,31,106,59,35,1,28.64285714,106,1,401,155,246,53,402,1,30,14,12,44,13,256,6,127,115,287,52,96,101
10201,2018,24,3,,1,,,,3,3,,3,311,10,13,34,14,,12,69,19,15,11,15,67,26,19,,26.16666667,69,11,314,161,153,53,324,1,20,11,9,47,39,143,,142,56,268,52,91,100
10151,2018,16,4,,3,,,,2,3,1,3,184,7,15,15,3,1,12,30,15,,7,15,34,14,7,25,14.84615385,34,1,193,91,102,33,200,1,29,6,13,21,,172,4,24,127,73,32,100,101
10130,2018,36,5,,1,,,,3,4,3,4,308,,5,21,18,,3,45,9,13,16,4,103,89,2,,27.33333333,103,2,328,101,227,40,328,1,40,7,10,34,37,211,,80,75,253,39,91,100
10184,2018,51,3,,1,1,,,2,4,2,4,743,12,23,34,24,12,53,86,73,16,5,50,162,102,57,51,53.42857143,162,5,748,305,443,71,760,1,46,18,11,66,71,311,80,298,119,641,70,103,104
10208,2018,28,4,,,1,,,2,5,1,5,630,2,4,14,,5,12,85,12,9,7,11,181,186,116,4,49.69230769,186,4,646,132,514,44,648,1,102,5,7,40,163,205,59,221,53,595,43,96,100
10215,2018,11,3,,1,,,,2,3,,3,110,,,11,,,3,15,,2,12,2,53,21,3,,13.55555556,53,2,122,29,93,16,122,1,23,3,6,11,13,54,8,47,43,79,15,84,93
10137,2018,9,3,,,,,,2,3,,3,157,,7,10,2,,3,52,2,8,9,5,41,27,2,,14,52,2,168,76,92,25,168,1,29,0,10,18,18,106,7,37,79,89,24,91,100
10204,2018,29,4,,,,,,2,5,1,5,256,,,12,,,6,49,14,5,8,18,102,33,21,5,24.81818182,102,5,273,81,192,30,273,1,35,6,6,25,118,44,1,110,77,196,29,88,92
10156,2018,14,4,,,,,,2,3,,3,164,1,4,7,3,1,2,54,10,3,3,2,40,28,15,3,12.5,54,1,175,81,94,27,176,1,25,2,12,18,15,130,,31,68,108,26,96,101
10163,2018,22,3,,,,,,2,4,2,4,292,,9,31,4,2,9,38,9,6,4,4,72,42,76,1,21.92857143,76,1,307,102,205,30,307,1,34,2,11,20,11,208,12,76,92,215,29,96,101
10173,2018,10,3,,,1,,,2,5,2,5,172,,7,23,,,2,49,2,2,3,6,78,6,12,,17.27272727,78,2,190,83,107,21,190,2,34,1,9,14,29,121,27,13,69,121,20,91,100
10131,2018,37,3,,,1,,,4,4,1,4,429,6,5,11,8,15,6,136,28,8,2,7,91,46,75,2,31.42857143,136,2,440,209,231,37,446,1,56,5,10,31,70,300,,76,83,363,36,100,100
10177,2018,15,3,,,,,,2,3,,3,158,,1,13,1,9,3,40,,10,8,12,48,20,4,,14.08333333,48,1,169,67,102,25,169,1,19,1,10,17,67,56,7,39,63,106,24,91,100
10186,2018,27,5,,,,,,2,4,1,4,310,,2,24,2,2,3,50,27,5,7,13,69,45,64,13,23.28571429,69,2,326,110,216,34,326,1,57,3,10,31,35,163,5,123,60,266,33,101,101
9886,2018,16,4,,,,,,2,3,1,3,213,9,,20,11,8,16,33,15,11,10,6,41,14,30,2,16.69230769,41,2,217,103,114,28,226,2,38,2,11,21,8,151,19,48,111,115,27,90,94
10124,2018,21,3,,1,1,,,2,4,1,4,294,,2,22,13,3,8,76,30,9,2,13,104,14,14,,23.84615385,104,2,310,154,156,34,310,2,41,4,11,25,28,148,5,129,97,213,33,92,101
10152,2018,35,5,,,,,,2,5,2,5,339,,3,29,10,12,38,52,20,12,10,18,74,32,40,8,25.57142857,74,3,358,164,194,47,358,1,32,7,11,41,42,189,11,116,87,271,46,100,101
10164,2018,17,3,,,,,,2,4,1,4,197,4,,7,18,2,4,55,8,4,8,2,49,37,13,,17.25,55,2,207,94,113,26,211,1,34,4,11,19,25,147,9,30,79,132,25,85,94
10200,2018,10,3,,1,3,,,3,3,,3,337,,13,9,,,42,101,2,4,7,51,90,7,18,9,29.41666667,101,2,353,167,186,30,353,2,39,6,7,27,77,215,,61,69,284,29,96,100
10148,2018,28,6,1,,,,,2,5,2,5,360,,11,41,18,3,17,71,12,10,3,14,73,76,18,14,27.21428571,76,3,381,173,208,38,381,2,34,4,11,32,133,98,43,107,113,268,37,96,100
10197,2018,25,4,1,2,1,,,2,4,4,4,322,,16,8,17,7,16,84,11,3,8,7,91,65,11,,26.46153846,91,3,344,159,185,33,344,1,33,5,9,29,67,139,28,110,66,278,32,92,100
16930,2018,10,3,,1,,,,2,3,,3,210,,7,8,,2,8,28,15,2,3,6,85,38,8,12,17.07692308,85,2,222,68,154,31,222,1,34,4,9,24,54,129,2,37,82,140,30,98,101
10180,2018,25,3,,1,,,,4,6,3,6,308,,8,28,12,3,23,67,8,15,2,2,100,42,21,,25.46153846,100,2,331,149,182,37,331,1,30,7,10,31,27,180,33,91,72,259,36,91,100
17038,2018,15,4,1,,,,,2,3,,3,140,,1,8,3,2,4,36,17,5,7,2,39,11,15,3,10.92857143,39,1,153,71,82,26,153,1,27,3,10,18,49,85,6,13,60,93,25,98,101
10127,2018,43,4,,2,,,,2,3,1,3,819,2,22,5,12,4,27,164,65,11,10,65,171,97,170,9,59.42857143,171,4,832,299,533,58,834,1,108,14,11,53,91,407,57,279,131,703,57,100,101
10193,2018,17,4,,,1,,,2,3,,3,236,,2,15,,,2,46,13,3,11,5,67,65,19,1,20.75,67,1,249,78,171,34,249,1,24,2,8,29,70,102,22,55,56,193,33,95,100
10128,2018,30,4,,,1,,,3,7,3,7,296,,1,19,,3,15,63,13,3,3,16,93,36,56,,26.75,93,1,321,114,207,27,321,1,31,4,9,21,34,210,1,76,60,261,26,91,100
10216,2018,14,3,,,1,,,2,3,,3,186,,6,16,8,3,10,32,5,9,5,27,62,9,6,,15.23076923,62,3,198,80,118,25,198,2,27,4,11,16,13,157,14,14,99,99,24,94,101
10169,2018,32,3,,,,,,3,3,,3,291,,6,22,9,2,32,56,8,12,3,30,71,24,26,2,21.64285714,71,2,303,135,168,37,303,2,28,6,9,33,24,143,6,130,77,226,36,96,101
15320,2018,7,3,,,,,,1,2,,2,220,,,28,,8,1,,5,10,17,26,46,84,,3,22.8,84,1,228,42,186,16,228,1,40,1,7,11,42,83,6,97,76,152,15,91,96
10132,2018,13,5,,,1,,,2,5,1,5,282,3,1,19,5,1,12,61,3,9,18,13,83,31,42,,22.92307692,83,1,298,102,196,33,301,1,35,3,12,26,36,130,2,133,90,211,32,92,101
17129,2018,21,4,,,1,,,3,3,,3,290,,7,11,7,,2,65,10,7,9,17,86,43,39,1,23.38461538,86,1,304,102,202,37,304,1,28,8,9,32,58,131,5,110,63,241,36,98,100
10211,2018,17,3,,,,,,2,4,1,4,137,2,1,9,,1,4,40,3,4,2,4,43,26,5,7,11.46153846,43,1,149,58,91,23,151,1,34,3,9,16,87,27,2,35,72,79,22,96,100
10192,2018,19,3,,,1,,,3,3,,3,202,,7,24,,5,4,68,13,2,2,4,50,8,28,,17.91666667,68,2,215,121,94,32,215,1,26,0,8,27,46,108,11,50,48,167,31,91,100
10154,2018,13,4,,,,,,2,4,1,4,243,,2,32,14,2,10,46,6,5,2,6,35,55,41,2,18.42857143,55,2,258,112,146,26,258,1,50,2,12,18,13,170,,75,105,153,25,97,101
10207,2018,19,3,,,,,,2,4,1,4,351,,,26,24,2,25,36,7,3,26,23,101,37,55,,30.41666667,101,2,365,120,245,41,365,1,27,5,7,38,91,111,29,134,48,317,40,86,95
10141,2018,14,3,,,,,,2,3,,3,188,,,10,,,2,67,12,5,5,3,30,38,27,,19.9,67,2,199,91,108,21,199,2,29,3,6,15,96,54,,49,63,136,20,83,92
10133,2018,9,3,,,2,,,2,3,,3,117,,2,6,6,2,3,23,8,5,2,6,27,27,11,2,9.285714286,27,2,130,50,80,18,130,2,27,0,10,10,16,93,,21,76,54,17,95,101
10196,2018,18,3,,,1,,,2,4,1,4,170,,5,14,9,9,3,42,4,9,2,6,43,15,23,1,13.21428571,43,1,185,86,99,30,185,1,24,5,10,21,20,129,,36,74,111,29,100,100
10183,2018,23,3,,,1,,,3,3,,3,169,,,9,,2,3,36,16,5,2,5,40,29,23,12,15.16666667,40,2,182,66,116,29,182,1,24,4,8,22,11,78,21,72,60,122,28,91,94
10195,2018,26,5,,,1,,,2,4,1,4,480,5,9,51,35,15,41,82,36,10,8,28,79,55,38,5,35.14285714,82,5,492,269,223,61,497,1,32,18,9,57,105,276,10,106,101,396,60,100,100
10142,2018,12,5,,,,,,2,5,1,5,177,,,9,,,2,50,3,3,2,2,58,31,35,,19.5,58,2,195,64,131,25,195,1,25,2,6,20,56,70,,69,36,159,24,88,97
10118,2018,24,4,,,,,,2,4,1,4,253,,22,6,17,5,4,73,10,3,3,6,63,47,9,,20.61538462,73,3,268,137,131,34,268,1,36,8,11,26,13,154,15,86,83,185,33,94,101
10122,2018,18,6,1,,,,,2,6,4,6,290,,9,17,19,37,21,37,14,6,19,10,87,38,1,,24.23076923,87,1,315,154,161,38,315,1,45,7,12,30,50,179,7,79,126,189,37,88,101
10189,2018,28,3,,,,,,2,3,,3,281,2,3,15,1,,21,35,4,6,2,50,90,32,7,24,22.30769231,90,1,290,79,211,35,292,1,29,6,10,29,38,126,5,123,63,229,34,98,101
10125,2018,22,5,,,1,,,2,5,1,5,404,,21,22,5,19,8,76,16,24,11,33,58,79,51,,32.53846154,79,5,423,167,256,46,423,1,43,7,9,41,163,116,3,141,72,351,45,92,100
10138,2018,12,5,,,,,,3,4,,4,305,2,9,13,1,1,9,69,7,8,12,30,94,23,42,1,22.78571429,94,1,319,109,210,39,321,1,27,8,12,32,92,114,15,100,68,253,38,94,100
10146,2018,15,3,,,,,,2,4,1,4,141,,,12,2,,4,23,10,3,2,4,35,24,33,3,12.91666667,35,2,155,51,104,21,155,2,25,3,7,14,63,37,23,32,51,104,20,86,92
10191,2018,23,6,1,1,,,,2,4,3,4,392,4,2,20,6,6,53,80,16,23,11,63,94,27,5,3,29.21428571,94,2,409,183,226,46,413,1,44,9,11,41,56,145,2,210,115,298,45,99,103
10172,2018,13,3,,,1,,,3,3,,3,200,,3,16,5,2,9,46,5,12,8,4,43,28,24,8,15.21428571,46,2,213,86,127,24,213,2,24,2,10,15,14,147,3,49,87,126,23,96,100
10126,2018,18,7,2,,,,,2,5,1,5,369,1,3,20,10,2,20,57,17,12,9,30,142,60,6,2,27.85714286,142,2,390,129,261,39,391,1,45,6,12,33,22,267,2,100,118,273,38,97,101
10181,2018,15,3,,,,,,2,4,1,4,83,,,10,,,2,28,,,7,1,21,15,1,12,10.77777778,28,1,97,40,57,16,97,1,26,2,5,13,1,54,8,34,48,49,15,92,92
10147,2018,47,5,,,,,,2,4,2,4,245,2,2,14,,,4,73,15,7,3,6,72,36,26,2,21.66666667,73,2,260,108,152,37,262,1,26,4,8,31,71,86,11,94,51,211,36,97,100
10209,2018,47,4,,1,1,,,2,4,,4,567,5,18,53,14,27,25,65,28,13,31,91,128,50,31,4,41.28571429,128,4,578,230,348,69,583,1,42,13,12,62,130,179,9,265,93,490,68,99,100
10185,2018,24,5,,,,,,2,5,3,5,268,1,5,26,9,,18,53,4,7,3,9,91,55,7,,23.91666667,91,3,287,115,172,34,288,1,41,7,9,30,18,116,12,142,60,228,33,93,102
24956,2018,17,2,,1,,,,1,2,,2,156,3,,14,9,3,4,39,11,6,13,2,6,,43,11,13.41666667,43,2,161,80,81,30,164,1,20,1,11,23,25,70,3,66,55,109,29,91,94
10136,2018,10,2,,,1,,,2,2,,2,173,2,,2,,,,39,13,,,2,54,39,27,4,22.5,54,2,180,54,126,21,182,1,23,3,3,18,4,102,19,57,41,141,20,93,95
10213,2018,44,5,,,,,,2,4,4,4,458,3,5,18,8,6,45,77,20,4,17,4,132,86,49,3,33.85714286,132,3,474,179,295,53,477,1,48,11,9,45,105,177,18,177,68,409,52,102,102
10123,2018,23,3,,,,,,2,3,,3,348,,,14,12,3,22,55,8,4,5,10,78,91,57,,29.91666667,91,3,359,114,245,32,359,1,49,4,10,24,40,259,8,52,101,258,31,86,95
10166,2018,15,7,,,1,,,3,4,,4,215,1,2,13,3,1,2,66,12,3,3,4,63,53,8,,17.92307692,66,1,233,99,134,25,234,1,38,2,11,17,28,116,7,83,70,164,24,92,101
10174,2018,46,5,,,,,,2,4,1,4,493,5,20,18,9,7,43,65,42,20,12,29,140,49,48,2,36,140,2,504,204,300,61,509,1,43,11,11,56,66,266,,177,118,391,60,98,102
10202,2018,25,3,,,,,,7,3,,3,302,,,16,,6,3,107,13,4,2,3,96,14,54,,28.90909091,107,2,318,145,173,27,318,1,45,3,7,22,19,138,17,144,55,263,26,84,92
10165,2018,18,3,,,2,,,2,3,,3,150,,1,10,4,1,2,37,9,4,2,2,74,6,11,,12.53846154,74,1,163,64,99,28,163,1,35,3,11,19,8,121,8,26,66,97,27,92,101
10121,2018,15,4,,1,,,,2,4,,4,149,,2,13,1,,2,33,14,6,3,9,36,19,4,22,12.61538462,36,1,164,65,99,23,164,1,23,2,11,15,,123,20,21,89,75,22,98,101
10175,2018,19,5,,,,,,2,4,,4,263,,3,14,15,4,7,39,12,24,8,8,63,50,10,21,19.85714286,63,3,278,94,184,38,278,1,26,3,11,30,53,143,9,73,73,205,37,99,100
10179,2018,13,3,,1,1,,,3,3,,3,213,,7,15,5,6,3,45,5,7,5,4,73,35,17,,17.46153846,73,3,227,86,141,29,227,1,37,5,11,22,15,117,13,82,72,155,28,93,100
10199,2018,28,5,,,,,,2,4,,4,313,3,7,15,11,2,6,68,52,5,3,28,75,30,20,3,23.21428571,75,2,325,161,164,49,328,1,29,12,9,44,95,141,3,89,59,269,48,101,101
10214,2018,16,4,,,1,,,2,3,1,3,224,,1,13,,,15,61,15,5,2,2,56,28,37,3,19.83333333,61,1,238,105,133,32,238,1,25,4,8,24,89,88,10,51,44,194,31,96,100
10119,2018,11,3,,,1,,,2,3,,3,181,2,3,2,1,,4,34,7,6,7,11,36,61,19,,15.91666667,61,1,191,51,140,26,193,1,39,2,10,17,3,131,5,54,84,109,25,92,101
10134,2018,13,5,,1,,,,2,4,1,4,337,3,19,28,18,12,30,44,12,9,14,39,63,42,3,18,25.07142857,63,3,351,163,188,50,354,1,34,11,12,44,29,151,17,157,75,279,49,98,101
10162,2018,25,4,,,,,,2,3,,3,277,1,3,16,5,1,2,66,13,4,3,2,65,68,38,2,20.57142857,68,1,288,106,182,41,289,1,35,8,11,33,28,158,7,96,68,221,40,100,100
10161,2018,13,4,,,2,,,2,3,,3,295,,3,22,12,10,24,58,7,12,19,20,42,32,21,27,22.07142857,58,3,309,136,173,35,309,1,45,5,13,32,16,195,11,87,120,189,34,101,101
10178,2018,4,5,,,,,,2,6,2,6,108,,7,8,1,,11,21,1,6,,6,12,27,2,27,10.75,27,1,129,49,80,22,129,1,23,3,8,15,11,82,6,30,67,62,21,99,100
10150,2018,8,4,,,1,,,2,3,,3,161,,2,14,,,5,55,2,7,4,4,30,27,20,4,14.5,55,2,174,78,96,31,174,1,15,1,9,23,53,17,25,79,52,122,30,98,100
10171,2018,26,4,,,1,,,2,5,1,5,220,,2,14,3,1,13,42,12,3,2,2,91,46,6,1,17,91,1,238,87,151,34,238,1,31,4,12,23,11,128,1,98,83,155,33,97,100
10182,2018,14,3,,1,1,,,3,3,,3,155,,7,15,9,,2,21,,3,5,4,63,7,15,18,14.08333333,63,2,169,54,115,21,169,1,49,1,10,13,5,57,,107,117,52,20,98,101
10144,2018,14,5,,1,1,,,2,5,1,5,145,,,8,,,2,40,6,4,11,2,28,36,9,19,15,40,2,165,56,109,20,165,2,22,2,8,15,53,61,,51,57,108,19,89,92
10187,2018,21,3,,,,,,2,3,,3,198,,,14,2,,2,44,2,3,7,2,65,24,30,14,17.41666667,65,2,209,64,145,24,209,1,36,1,11,18,46,84,2,77,59,150,23,91,94
10217,2018,12,2,,,,,,2,2,,2,94,,2,,5,,2,15,1,7,2,5,15,6,10,32,8.5,32,1,102,25,77,19,102,1,30,0,9,11,50,48,1,3,64,38,18,97,100
10160,2018,23,4,,2,,,,2,4,,4,346,4,,9,2,2,6,63,28,8,4,45,84,51,40,16,27.53846154,84,2,358,110,248,39,362,1,39,5,9,35,31,239,1,91,73,289,38,92,95
10170,2018,35,5,,,,,,2,4,,4,331,,5,24,10,9,44,80,20,5,11,41,67,24,4,2,24.71428571,80,2,346,192,154,42,346,1,30,10,10,35,130,166,,50,85,261,41,97,101
23941,2018,12,3,,,,,,2,3,,3,146,,,18,3,2,2,32,4,21,2,2,40,14,14,3,12.07692308,40,2,157,61,96,21,157,1,23,1,9,13,19,45,10,83,81,76,20,91,95
10206,2018,20,5,,,,,,3,5,1,5,375,,7,21,12,15,26,78,7,15,12,38,83,40,32,8,28.14285714,83,7,394,166,228,60,394,1,26,16,10,54,58,169,27,140,57,337,59,96,100
10205,2018,17,3,,,,,,2,3,,3,295,,,17,,2,7,75,8,5,2,10,62,57,58,3,25.5,75,2,306,109,197,32,306,1,42,7,7,27,95,80,7,124,46,260,31,93,97
10190,2018,10,5,,,1,,,2,5,2,5,222,9,2,24,,,2,41,17,5,2,2,68,25,43,2,19.41666667,68,2,233,86,147,35,242,1,36,7,10,28,6,69,31,136,48,194,34,96,101
10188,2018,19,5,,,1,,,2,4,1,4,200,,5,27,8,,3,57,2,4,17,2,54,34,4,,18.08333333,57,2,217,102,115,30,217,1,23,4,10,22,17,40,20,140,56,161,29,93,101
10198,2018,19,3,,,,,,2,3,,3,221,3,15,26,14,,23,48,6,3,3,5,52,24,10,,19.08333333,52,3,229,132,97,32,232,1,25,6,10,23,39,139,1,53,91,141,31,92,100
10167,2018,23,5,,,,,,2,5,1,5,286,,,15,7,2,,80,9,6,7,2,53,81,42,,27.63636364,81,2,304,113,191,29,304,2,49,3,10,22,21,189,13,81,80,224,28,87,95
10149,2018,6,3,,,,,,2,3,,3,128,,,14,2,,2,30,4,9,22,5,24,17,10,,12.63636364,30,2,139,52,87,21,139,1,22,2,8,13,74,52,1,12,62,77,20,86,94
10210,2018,18,3,,1,,,,2,4,1,4,205,1,6,13,,,4,67,3,5,3,29,39,5,45,,19.90909091,67,3,219,93,126,28,220,1,25,4,8,23,109,69,3,39,54,166,27,91,100
10140,2018,15,3,,,1,,,2,3,,3,125,,,12,,,2,39,2,8,2,9,26,19,18,,13.7,39,2,137,55,82,25,137,1,26,1,7,18,54,43,2,38,51,86,24,85,94
10212,2018,9,3,,1,,,,2,3,,3,160,,,17,2,3,3,56,4,5,4,5,55,13,5,,14.33333333,56,2,172,85,87,24,172,1,23,0,9,15,87,29,5,51,68,104,23,87,96
10194,2018,7,3,,,,,,2,3,,3,76,,2,13,4,1,2,22,5,5,3,2,18,1,9,,6.692307692,22,1,87,49,38,17,87,1,20,0,10,8,15,59,,13,57,30,16,91,100
10145,2018,9,5,,,1,,,2,5,1,5,204,7,14,13,2,10,11,48,6,17,5,5,42,34,9,,16.61538462,48,2,216,104,112,27,223,1,30,2,10,19,106,35,2,80,92,131,26,91,100
10135,2018,17,5,,,1,,,2,4,3,4,210,,,30,1,2,26,48,8,7,19,9,53,21,5,,19.08333333,53,1,229,115,114,37,229,1,19,5,8,32,38,110,,81,58,171,36,88,97
10139,2018,9,5,,,1,,,2,4,,4,116,,,14,3,,3,17,12,2,2,2,43,27,7,,12,43,2,132,49,83,19,132,2,21,1,6,13,41,32,,59,43,89,18,85,94
15363,2018,10,2,,,,,,1,2,,2,113,,,21,,,1,12,,3,2,5,39,32,5,,13.33333333,39,1,120,34,86,15,120,1,27,0,6,10,19,40,18,43,34,86,14,84,95
10129,2018,13,3,,,1,,,2,4,1,4,175,,5,21,3,1,8,55,4,10,10,14,57,2,,,15.83333333,57,1,190,97,93,21,190,1,32,1,11,14,34,120,2,34,88,102,20,82,100
15381,2018,4,1,,,,,,,1,,1,73,,,11,3,,27,14,,,21,,,,,,15.2,27,3,76,55,21,9,76,2,21,1,2,7,13,49,,14,5,71,8,56,93
23959,2018,7,2,,,1,,,2,2,,2,78,,,16,15,3,16,37,,,,,,,,,17.4,37,3,87,87,0,9,87,2,25,1,5,5,2,39,24,22,53,34,8,28,94
9767,2019,12,3,,,2,,3,4,3,,3,268,,22,12,2,4,15,47,14,7,6,4,41,23,52,37,20.42857143,52,2,286,116,170,27,286,2,35,5,12,16,135,63,1,87,108,178,26,99,104
9779,2019,35,3,,,3,,2,4,3,,3,357,8,29,9,36,29,15,60,8,1,6,,49,56,38,31,28.23076923,60,1,367,186,181,45,375,1,35,10,10,39,98,101,23,153,87,288,44,103,103
9746,2019,8,5,,,3,,1,5,5,,5,403,,13,24,4,5,29,50,16,8,8,2,21,116,68,63,30.5,116,2,427,141,286,44,427,1,38,8,10,39,121,102,40,164,76,351,43,101,103
12668,2019,36,3,,,1,,4,4,3,,3,308,2,14,19,6,5,4,65,5,7,5,3,42,75,29,45,23.14285714,75,3,324,118,206,36,326,1,35,7,12,28,132,46,3,145,107,219,35,100,102
9785,2019,14,4,,,2,,1,3,5,1,5,259,,12,20,20,8,10,61,7,3,3,6,6,53,47,24,20,61,3,280,138,142,37,280,1,48,9,13,28,133,40,18,89,108,172,36,97,102
9814,2019,13,3,,1,,,,1,4,1,4,230,,2,4,20,5,,9,6,,3,,4,31,23,137,22.18181818,137,2,244,46,198,21,244,2,46,1,10,15,28,128,37,51,85,159,20,99,101
9819,2019,23,4,,,,,,2,4,,4,229,,2,5,17,3,4,40,7,,2,4,8,54,87,10,18.69230769,87,2,243,78,165,31,243,1,35,5,11,23,35,121,4,83,74,169,30,98,101
9818,2019,12,3,,2,1,,1,2,5,2,5,242,,14,17,5,4,,26,8,,3,1,31,30,21,103,21.91666667,103,1,263,74,189,24,263,1,70,2,10,18,24,161,5,73,117,146,23,99,101
9739,2019,29,4,,,1,,,2,5,1,5,387,,3,26,2,5,4,93,7,,3,4,44,53,83,78,31.15384615,93,2,405,140,265,36,405,1,54,5,11,27,141,107,33,124,89,316,35,99,104
6069,2019,8,3,,1,,,,1,4,1,4,108,,2,5,14,2,3,21,4,,2,2,2,,3,62,10.16666667,62,2,122,51,71,17,122,2,28,0,11,8,84,13,,25,82,40,16,100,102
9743,2019,11,3,,,2,,1,3,3,,3,111,,10,2,12,3,9,34,7,,3,3,10,,22,11,10.5,34,2,126,77,49,25,126,1,18,3,11,15,74,24,4,24,65,61,24,99,103
9771,2019,12,3,,2,1,,3,1,3,,3,202,,7,17,24,5,7,2,5,,6,5,39,2,14,85,16.76923077,85,2,218,67,151,22,218,1,58,2,10,14,62,69,37,50,98,120,21,101,104
9800,2019,9,3,,,1,,3,2,3,,3,166,,11,25,3,,8,2,4,6,3,,12,13,34,60,15.08333333,60,2,181,53,128,20,181,1,30,2,11,11,96,15,20,50,99,82,19,101,103
